h,2009,2010,2011,2012,2013,2014,2015,2016,2017
0.0,48221.25032639283,48529.262342743496,49677.04424330609,42888.7062702437,39682.34834106753,44334.561772210596,45377.86316116533,42983.02606098011,49429.39445824342
1.0,45775.073157628576,46801.086066869735,47555.968082990075,40761.356755979934,38080.0134626891,42527.12586624523,43769.37651968282,41360.638085209575,47759.0858553209
2.0,43636.95705018822,44879.690831981985,45691.829176762,39425.760945450034,36557.85178823235,41455.07328048975,42358.5126827903,40161.793873025155,46261.6782068223
3.0,41802.59345775955,43435.40609924052,44592.05172516379,38602.739112372656,35994.380960670096,40672.90208651825,41728.97199600361,39663.38644178338,45196.52294438353
4.0,40096.40911811948,42255.583070177425,42919.27194541127,37411.20004060392,35372.19173023563,39720.870568238235,40998.58255842098,39004.996378291165,44191.13591310364
5.0,37178.44612816688,40387.08017602535,39834.94984508351,35344.153347216925,33560.954841638726,37940.89710991557,39532.710312003415,37842.0457053937,42530.43291876022
6.0,36988.870090429096,39770.72249112597,39857.52592180254,35856.72732466945,33474.00643738563,38229.761374009075,39774.13610936336,38211.23639520242,42874.10024792383
7.0,37584.52661809384,40024.38983955216,40522.98265937761,36830.50620993875,34343.49047991657,38894.96288357652,40462.75990267697,39050.119684823345,43756.74894735957
8.0,40031.78092343615,41988.96249544862,43030.00222646172,39155.5149704097,36807.405000439285,41345.22348991898,42815.8974212486,41373.96997123045,46269.14923571716
9.0,42458.5696337954,44239.585565527814,45965.96725120731,42110.35319337134,39764.77994509968,43628.67515502435,45495.01069996868,43907.02831519583,48789.02055296961
10.0,45198.805088368834,47015.89373638808,49194.34622202789,45529.74648086513,43278.85051699093,46111.48384746186,48592.79909562943,46708.77543896644,51158.40400248271
11.0,46721.87620973944,48755.94380303924,50416.679518672245,46203.1279806557,44843.92179354661,47078.77228109892,49695.00463463138,47555.862966138666,52019.70690507599
12.0,46457.97774811582,48581.07524795395,49750.14772982484,45688.320565392925,44896.99419614265,46468.49566681686,48961.55917429736,46943.62173887254,51121.048858008406
13.0,46237.16474961442,48048.91353402156,49210.47199111291,45313.10301327081,44847.30939371231,46088.089910581046,47973.445151347376,46646.21812763774,50657.845066527014
14.0,46627.08819087055,48238.8941864599,49110.4922227858,45634.718057946906,45515.79582641142,46651.57865110148,48045.77102313031,47325.11878500821,51157.336712640594
15.0,49098.039500930085,50807.95073647834,50817.67364325302,48617.47425353668,47898.407942957216,49736.52693629728,50596.531346291944,50027.389528469255,53712.4285946831
16.0,52758.14959316299,54446.72789198767,55254.41024417761,53239.57380185045,51476.84291799686,54694.00729964854,55209.08835239252,53859.793994622545,58355.139407918236
17.0,53472.29114441385,55504.574706701154,56080.04962133052,54627.65540092125,52983.195791680315,55604.336582619275,55939.47778997515,54484.34157821562,59143.86660124715
18.0,52304.67509380158,54350.65813024328,55196.357475471545,53500.88602564978,51873.192137384336,54670.613362767726,54914.69149400845,53332.6717319512,57894.070196121094
19.0,50286.1211465254,52460.56652558685,53253.73982636306,50919.031917,49691.57763067036,52154.2394565447,52745.93401477079,51091.889350751066,55744.54845408533
20.0,49896.197705269275,51285.06123862463,52540.98083280527,49544.35094479071,48531.88917394404,50617.35951624439,51519.450217212245,49367.973935283124,54394.42680379971
21.0,50835.46080133376,52319.16047178332,53177.411186027304,48639.808631639185,48444.94076969095,49998.94588043857,51324.88343537364,48651.12867923787,54150.017429953536
22.0,48293.418477122555,50032.91602937194,50495.158261552664,43734.062481423585,44770.523789956336,46700.40078024405,48509.26780709139,45573.51406780462,51302.488131169324
23.0,45613.502670920236,47204.79495330121,47247.42836783006,39213.58435347622,41391.95722469329,43254.37216493135,45747.64191408373,42310.27858177311,48609.71585949294
24.0,43306.27612072515,44955.251318747236,44838.23846652839,36371.534739932235,39290.515921900995,40971.937627516454,43804.01144419859,40119.74715557472,46772.910041199226
25.0,41954.46971526538,43771.11054758327,43527.75096555261,35493.79368050372,38536.21028500403,40301.65047949666,42783.299845233756,39248.04691574857,46039.68191966071
26.0,41350.19609497619,43116.97261930126,42691.361075676345,35899.16264306421,38689.781492515984,40492.87048530504,42576.50897238958,38934.234829411165,45993.78845644942
27.0,41537.61785955787,43136.40245875518,42364.54548888665,37936.05792601283,39724.12874311123,41815.13648291617,43534.06276782566,39797.730831686,47099.50073288887
28.0,41955.54685184344,42749.9645407272,41275.51855001177,42567.0912255676,41958.815652421246,44394.572305948335,45132.36266680353,40534.06115191561,50242.66931794116
29.0,42772.01637800958,42122.81250057563,39185.61887659346,49787.79566610803,47242.3427108657,49605.31746422664,47603.66639842898,41502.16118296958,56400.93170699099
30.0,46508.60316728443,44790.09768338891,40578.885325539006,57871.72382031035,53148.05899974462,55688.75818092829,51466.47915618812,44572.59708654543,63049.08013357528
31.0,50364.75211672346,48437.510323099974,43241.78732711162,62812.088256584844,57030.24878964247,59719.63521826129,55259.00339066526,48454.22697800655,67215.77967722355
32.0,53586.46762168774,52038.50723522668,47349.558238701844,65393.94236523462,58609.9996669162,62217.70082605584,58391.42671084178,52196.38483109548,69690.82482110683
33.0,55111.69301621446,54055.97223185882,50526.33474845037,68185.73962804796,60319.608550541954,63904.098536855265,60514.34384880857,54752.00482832695,71654.6381306132
34.0,56473.19365087673,55759.32149065256,53872.96935922775,70077.46145333028,61836.12422472253,65461.32103096499,62153.390717805,56784.60468166273,73274.78411095594
35.0,57286.431767308706,56408.06224130848,54082.60435733298,70557.65058253419,62536.228258968215,65717.63720896345,62552.71102398685,57349.67154300885,73731.58416338458
36.0,56306.23748127812,55526.163417205506,51920.67624866825,69753.61297084394,61927.58942919656,64949.70580265853,61527.92472802016,56610.2646336975,72585.31487294447
37.0,55238.795132425024,54837.48355211653,50475.807338650644,68690.49657316462,61366.377001744775,63822.72832161766,60357.46801423713,55946.74692173572,71479.602596505
