,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,44768,44958,46209,38406,35142,43588,44546,41913,46313
1,42497,43357,44236,36501,33723,41811,42967,40331,44748
2,40512,41577,42502,35305,32375,40757,41582,39162,43345
3,38809,40239,41479,34568,31876,39988,40964,38676,42347
4,37225,39146,39923,33501,31325,39052,40247,38034,41405
5,34516,37415,37054,31650,29721,37302,38808,36900,39849
6,34340,36844,37075,32109,29644,37586,39045,37260,40171
7,34893,37079,37694,32981,30414,38240,39721,38078,40998
8,37165,38899,40026,35063,32596,40649,42031,40344,43352
9,39418,40984,42757,37709,35215,42894,44661,42814,45713
10,41962,43556,45760,40771,38327,45335,47702,45546,47933
11,43376,45168,46897,41374,39713,46286,48784,46372,48740
12,43131,45006,46277,40913,39760,45686,48064,45775,47898
13,42926,44513,45775,40577,39716,45312,47094,45485,47464
14,43288,44689,45682,40865,40308,45866,47165,46147,47932
15,45582,47069,47270,43536,42418,48899,49669,48782,50326
16,48980,50440,51397,47675,45587,53773,54197,52519,54676
17,49643,51420,52165,48918,46921,54668,54914,53128,55415
18,48559,50351,51343,47909,45938,53750,53908,52005,54244
19,46685,48600,49536,45597,44006,51276,51779,49820,52230
20,46323,47511,48873,44366,42979,49765,50575,48139,50965
21,47195,48469,49465,43556,42902,49157,50384,47440,50736
22,44835,46351,46970,39163,39648,45914,47620,44439,48068
23,42347,43731,43949,35115,36656,42526,44909,41257,45545
24,40205,41647,41708,32570,34795,40282,43001,39121,43824
25,38950,40550,40489,31784,34127,39623,41999,38271,43137
26,38389,39944,39711,32147,34263,39811,41796,37965,43094
27,38563,39962,39407,33971,35179,41111,42736,38807,44130
28,38951,39604,38394,38118,37158,43647,44305,39525,47075
29,39709,39023,36450,44584,41837,48770,46731,40469,52845
30,43178,41494,37746,51823,47067,54751,50523,43463,59074
31,46758,44873,40223,56247,50505,58714,54246,47248,62978
32,49749,48209,44044,58559,51904,61170,57321,50897,65297
33,51165,50078,46999,61059,53418,62828,59405,53389,67137
34,52429,51656,50112,62753,54761,64359,61014,55371,68655
35,53184,52257,50307,63183,55381,64611,61406,55922,69083
36,52274,51440,48296,62463,54842,63856,60400,55201,68009
37,51283,50802,46952,61511,54345,62748,59251,54554,66973
38,51244,50959,46659,61140,54160,61949,58771,54700,66516
39,53337,52592,48578,62337,55364,63371,60446,56689,67647
40,57717,57243,53431,65016,58446,66788,63764,59611,70698
41,57527,57623,54407,64553,58536,66641,63786,59778,70438
42,55576,56395,53168,62916,56678,64675,61814,58184,68676
43,52517,53209,50724,58579,52696,60728,58087,54723,64893
44,51205,51751,50277,55833,50010,57857,55864,52557,61849
45,51766,52337,51200,53896,48738,55726,54783,51794,60010
46,49417,50131,49244,48883,44655,51517,51472,48859,56111
