cet_cest_timestamp,AT,BE,CH,CZ,FR,NL,PL,LU,DE,NO,SE,DK,IT
2014-01-01 00:00:00,6413.0,8482.0,6429.0,5581.0,61060.0,10763.0,12976.0,431.0,43588.0,14181.0,14564.0,3171.0,24198.0
2014-01-01 01:00:00,6121.0,7997.0,6209.0,5460.0,58373.0,10164.0,12344.0,414.0,41811.0,13936.0,14226.0,3043.0,22796.0
2014-01-01 02:00:00,5805.0,7602.0,5957.0,5323.0,54787.0,9615.0,11915.0,400.0,40757.0,13654.0,14027.0,2917.0,21511.0
2014-01-01 03:00:00,5783.0,7430.0,5680.0,5270.0,52846.0,9248.0,11664.0,391.0,39988.0,13613.0,13950.0,2830.0,20777.0
2014-01-01 04:00:00,5817.0,7405.0,5718.0,5185.0,52574.0,9236.0,11562.0,390.0,39052.0,13710.0,14160.0,2853.0,20715.0
2014-01-01 05:00:00,5866.0,7443.0,5357.0,5164.0,52614.0,9519.0,11618.0,386.0,37302.0,13983.0,14529.0,2928.0,21428.0
2014-01-01 06:00:00,6215.0,7221.0,5057.0,5157.0,52741.0,9827.0,11464.0,400.0,37586.0,14324.0,14926.0,3047.0,21722.0
2014-01-01 07:00:00,6530.0,7243.0,5097.0,5137.0,51980.0,10094.0,11316.0,403.0,38240.0,14637.0,15157.0,3123.0,22000.0
2014-01-01 08:00:00,6917.0,7376.0,5210.0,5547.0,53276.0,10421.0,11847.0,402.0,40649.0,14891.0,15336.0,3252.0,23738.0
2014-01-01 09:00:00,7216.0,7735.0,5345.0,5979.0,54899.0,11044.0,12458.0,418.0,42894.0,15424.0,15795.0,3485.0,25872.0
2014-01-01 10:00:00,7280.0,8103.0,5359.0,6129.0,56790.0,11572.0,12970.0,443.0,45335.0,15828.0,16236.0,3638.0,28024.0
2014-01-01 11:00:00,7055.0,8328.0,5784.0,6233.0,59602.0,11827.0,13307.0,456.0,46286.0,16174.0,16478.0,3710.0,28267.0
2014-01-01 12:00:00,6949.0,8345.0,5745.0,6287.0,57281.0,11789.0,13689.0,443.0,45686.0,16250.0,16662.0,3729.0,26614.0
2014-01-01 13:00:00,6822.0,8212.0,5644.0,6406.0,55325.0,11831.0,13784.0,439.0,45312.0,16397.0,17007.0,3762.0,24988.0
2014-01-01 14:00:00,6966.0,8178.0,5580.0,6468.0,54564.0,11870.0,14039.0,436.0,45866.0,16540.0,17671.0,3808.0,24802.0
2014-01-01 15:00:00,7808.0,8298.0,5828.0,6668.0,55501.0,12330.0,15414.0,445.0,48899.0,16753.0,18208.0,4082.0,25865.0
2014-01-01 16:00:00,8131.0,8911.0,6324.0,6819.0,60171.0,13629.0,15798.0,487.0,53773.0,17052.0,18359.0,4402.0,30015.0
2014-01-01 17:00:00,8110.0,9118.0,6442.0,6792.0,62273.0,13801.0,15904.0,501.0,54668.0,16585.0,17944.0,4329.0,31321.0
