,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,0.080299,0.4693100000000001,0.17203800000000002,0.05994600000000001,0.00928,0.226539,0.209192,0.07470800000000001,0.168418,0.318352,0.155661,0.102098,0.153131,0.110647,0.096754,0.21853000000000006,0.196721,0.1137,0.032644,0.170298,0.269805,0.775135,0.053393,0.040125,0.186317,0.426991,0.18099,0.5856359999999999,0.212035,0.156568
1,0.077166,0.457179,0.17213,0.064114,0.007693999999999999,0.242815,0.208843,0.073401,0.184925,0.338318,0.150833,0.104878,0.13931300000000002,0.102566,0.101643,0.242153,0.191403,0.118578,0.02943,0.15829200000000002,0.257135,0.801367,0.053191,0.043287,0.185391,0.465482,0.206165,0.559459,0.204882,0.165892
2,0.07412200000000001,0.42933,0.175067,0.073518,0.006716,0.280989,0.211015,0.072737,0.211876,0.339778,0.151473,0.110701,0.125617,0.096168,0.104453,0.265417,0.190304,0.119689,0.026204,0.148385,0.243067,0.809668,0.053468,0.052048,0.177531,0.497546,0.231369,0.5344869999999999,0.196675,0.174558
3,0.075489,0.398345,0.189138,0.081046,0.006462999999999999,0.333488,0.212211,0.070373,0.224327,0.359708,0.149765,0.112294,0.109516,0.092705,0.104562,0.284654,0.193795,0.11648,0.030882,0.140044,0.23337800000000006,0.830203,0.054488,0.060004,0.170181,0.5341899999999999,0.250015,0.50437,0.195217,0.174474
4,0.078127,0.37906,0.200101,0.092317,0.006922,0.383988,0.23133,0.06807,0.223104,0.383249,0.14555,0.111448,0.096509,0.091533,0.10447,0.308894,0.203134,0.113981,0.041971,0.132876,0.222688,0.8416520000000001,0.054149,0.068239,0.162668,0.555137,0.277328,0.4810180000000001,0.195112,0.182638
5,0.080605,0.358256,0.219817,0.098555,0.00811,0.41687,0.26807600000000004,0.068222,0.23286,0.413468,0.147154,0.109309,0.090286,0.09288,0.109859,0.33944,0.215931,0.114219,0.054598,0.12550899999999998,0.208914,0.842023,0.053378,0.074994,0.156693,0.563553,0.307466,0.451508,0.207584,0.186886
6,0.083868,0.321043,0.243363,0.098559,0.010158,0.425957,0.32676900000000003,0.06861,0.23586,0.459594,0.150149,0.10558800000000003,0.08916900000000001,0.094149,0.11818499999999997,0.371111,0.234316,0.117559,0.063434,0.121367,0.198538,0.828499,0.051892,0.079841,0.149029,0.565239,0.323914,0.431593,0.214587,0.199853
7,0.089948,0.280547,0.258649,0.099938,0.012131,0.429087,0.371768,0.070769,0.226572,0.492345,0.153125,0.103445,0.08732899999999999,0.089907,0.124974,0.399435,0.248948,0.123917,0.071614,0.119296,0.193285,0.814619,0.049654,0.08150800000000001,0.14568599999999998,0.553044,0.347007,0.40674,0.214988,0.211967
8,0.091724,0.241551,0.270396,0.094255,0.010578,0.400218,0.419227,0.062108,0.215893,0.519468,0.160145,0.102284,0.079182,0.07654,0.124777,0.404543,0.25292800000000004,0.11991,0.07345,0.11091,0.170895,0.803474,0.03991,0.068617,0.13012,0.539373,0.366678,0.373699,0.205665,0.228127
9,0.079683,0.20770300000000005,0.305692,0.090751,0.005224,0.375024,0.464509,0.049429,0.215372,0.5636329999999999,0.157269,0.09357,0.067656,0.060514,0.119096,0.387665,0.270583,0.111126,0.078277,0.098439,0.135535,0.800191,0.025938,0.05239,0.110895,0.510724,0.358081,0.334046,0.174033,0.24522
10,0.068424,0.184765,0.33434,0.078593,0.00375,0.364133,0.520338,0.048257,0.243528,0.6339279999999999,0.1536,0.07606,0.063013,0.049011,0.116965,0.407709,0.300993,0.110615,0.083722,0.097885,0.107,0.805535,0.019231,0.045632,0.102199,0.480905,0.348968,0.30812,0.15774100000000002,0.227227
11,0.064747,0.161244,0.384522,0.07173,0.002959,0.402154,0.560036,0.060643,0.276312,0.683182,0.156461,0.057774,0.065167,0.043923,0.119703,0.4209350000000001,0.344717,0.123281,0.08519199999999999,0.10773900000000003,0.090282,0.814913,0.016676,0.043467,0.097707,0.463355,0.349675,0.28927800000000004,0.164382,0.22649
12,0.066058,0.131338,0.427742,0.06929099999999999,0.0017530000000000002,0.423968,0.574016,0.06988899999999999,0.299495,0.698448,0.156886,0.044532,0.0693,0.041694,0.126611,0.42161,0.406285,0.1434,0.084586,0.119741,0.078003,0.811855,0.014971,0.042608,0.095863,0.439992,0.340275,0.278429,0.152162,0.238357
13,0.067868,0.114022,0.462049,0.06952799999999999,0.000683,0.418746,0.5761850000000001,0.072336,0.30606500000000003,0.677292,0.15929100000000002,0.038552,0.083078,0.051786,0.138051,0.433966,0.467934,0.182377,0.085734,0.135291,0.06779299999999999,0.7834909999999999,0.016533000000000003,0.041426,0.098762,0.415685,0.333295,0.267156,0.158301,0.271928
14,0.072693,0.122565,0.505737,0.079795,0.00075,0.414969,0.576925,0.090004,0.307577,0.655369,0.158557,0.038997,0.120434,0.090053,0.155547,0.4435060000000001,0.528043,0.244699,0.096417,0.17966,0.062998,0.756316,0.026653,0.043209,0.110078,0.396026,0.325069,0.268437,0.227115,0.326446
15,0.094311,0.14586400000000002,0.546949,0.086543,0.003106,0.402219,0.586172,0.140738,0.308054,0.6377550000000001,0.177331,0.046919,0.171494,0.13535,0.16888399999999998,0.452836,0.5778310000000001,0.315346,0.119543,0.227057,0.05905,0.746375,0.038711,0.04689,0.13100499999999998,0.370714,0.341596,0.28456,0.310496,0.365572
16,0.116731,0.167963,0.570334,0.073323,0.008068,0.383208,0.5973430000000001,0.166725,0.288529,0.621263,0.194987,0.049672,0.203604,0.156857,0.161093,0.419228,0.617609,0.365129,0.132889,0.263338,0.054325,0.747895,0.046281,0.042249,0.13688,0.336854,0.347113,0.284928,0.339942,0.38281
17,0.127088,0.186775,0.5977399999999999,0.054157,0.013251,0.376575,0.589993,0.16555899999999998,0.25908400000000004,0.603384,0.192698,0.044433,0.222662,0.158681,0.147885,0.398404,0.650479,0.398471,0.13611800000000002,0.30845,0.047923,0.7368359999999999,0.047192000000000005,0.034032,0.12621400000000002,0.310216,0.364985,0.278341,0.342542,0.404949
18,0.124708,0.21604,0.6442859999999999,0.036807,0.016937,0.374797,0.58924,0.15583699999999998,0.239999,0.5892930000000001,0.186964,0.03675,0.234468,0.147847,0.136046,0.378539,0.677032,0.419987,0.134581,0.351421,0.039805,0.721616,0.044421,0.025301,0.10881,0.292089,0.387605,0.27328600000000003,0.329169,0.437607
19,0.111941,0.254223,0.676558,0.023328,0.018588,0.371629,0.600833,0.14335,0.229518,0.580784,0.178352,0.02922,0.243121,0.131216,0.12759,0.366743,0.685738,0.461451,0.13029100000000002,0.397779,0.030255,0.699314,0.03966,0.018581,0.091967,0.27647,0.428484,0.274924,0.321184,0.479197
20,0.101954,0.295815,0.706769,0.01493,0.018335,0.376854,0.613571,0.131198,0.217897,0.570209,0.16501,0.022953,0.250841,0.117104,0.120052,0.348966,0.689764,0.494077,0.126383,0.461047,0.021493,0.665646,0.035279000000000005,0.014184,0.078689,0.268966,0.467745,0.277056,0.333868,0.520053
